Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación hospitalaria|Envases/Empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Vehículos y otros medios de transporte
Ecuador|0.68266124|0.58506292|0.93514967|0.93378949|0.66706055|0.76735222|0.74066865|0.51979572|0.57392353|0.29552221|0.67679149|0.53062719|0.57872379|0.34735668|0.76508969|0.77043563|0.82093751|0.88147974|0.63118684|0.61319613|0.58650041|0.77166265|0.66880119|0.86414558|0.63587558|0.5806911|0.72581387|0.62711608|0.42549056|0.72408503|0.72005105|0.78198349|0.49372172|0.67690343|0.74706739|0.75795662|0.70283371|0.77756453|0.85913491|0.58366787|0.79239523|0.72505295|0.80154991
Egipto|0.63840556|0.68798643|0.48883587|0.4469744|0.48369342|0.51419854|0.58478612|0.48209465|0.33539516|0.49456435|0.30359787|0.85518229|0.5753057|0.74240041|0.42320192|0.42263073|0.39097571|0.60163951|0.2923153|0.26474193|0.63014936|0.63377231|0.42342395|0.73522723|0.56061077|0.51571822|0.59510672|0.57589781|0.77865481|0.51887339|0.49024373|0.67261076|0.68610764|0.29390579|0.83704573|0.70052254|0.44035298|0.69949758|0.77228856|0.23300216|0.73783207|0.59758818|0.70240176
El Salvador|0.69787562|0.36835623|0.72566235|0.70113409|0.5323959|0.69678032|0.55638015|0.58071983|0.16728339|0.7222234|0.62261343|0.77826059|0.54414797|0.42255312|0.6561569|0.67533433|0.73341799|0.43396077|0.57046247|0.74695551|0.57867241|0.51662445|0.64916575|0.70357919|0.55402112|0.6621331|0.60262907|0.53679407|0.78902304|0.57631898|0.53893203|0.57131898|0.51298916|0.40489936|0.65838337|0.44967151|0.66222525|0.82040381|0.70234734|0.57723224|0.61410093|0.66392779|0.46002156
Emiratos Árabes Unidos|0.62468553|0.73121738|0.60537922|0.49278009|0.84395772|0.81591725|0.73108923|0.94519925|0.74896264|0.67464697|0.6548655|0.89569736|0.73273897|0.71773672|0.75942588|0.5425455|0.71653235|0.51710391|0.77886605|0.56081873|0.80130887|0.69463027|0.56940019|0.77725255|0.766505|0.77856433|0.78960526|0.85704499|0.82423949|0.70566666|0.69681722|0.7414875|0.76499337|0.94297671|0.82161891|0.84226042|0.78016543|0.79291856|0.67759269|0.65098584|0.72688532|0.74236155|0.79862034
Eritrea|0.45710927|0.25795043|0.52962673|0.40355295|0.64185977|0.34692925|0.42783499|0.20391032|0.53379035|0.2360687|0.26393607|0.37746608|0.22876805|0.3419857|0.20052135|0.26866558|0.22555634|0.66271567|0.24448526|0.23803741|0.21277913|0.33033073|0.21709451|0.29775333|0.2325395|0.27227148|0.23821768|0.40110683|0.29659641|0.21665183|0.28957894|0.4051404|0.39503103|0.36147189|0.42807281|0.28025913|0.28692392|0.23080489|0.27889374|0.19795457|0.37983185|0.26626116|0.24557298
Eslovaquia|0.71689272|0.67056078|0.82185936|0.75185043|0.78933942|0.78805411|1.0|0.88609761|0.55403113|0.86052406|0.79742587|0.66124082|0.84636456|0.72898871|0.80623686|0.70931965|0.73649931|0.5740087|0.71623302|0.91104376|0.85645342|0.75414389|0.76663792|0.78393638|0.85757446|0.78205568|0.84902924|0.71958554|0.8636173|0.77584732|0.89836907|0.81494397|0.89514327|0.60092944|0.58127403|0.58928841|0.80238992|0.71855456|0.86964738|0.90447277|0.70941877|0.78727841|0.64355302
Eslovenia|0.74723148|0.75974303|0.88772893|0.79315805|0.78616583|0.84087777|0.84371835|0.72947139|0.94908798|0.90600771|0.78517342|0.77155596|0.85502243|0.8008678|0.85649663|0.78266263|0.726592|0.6887331|0.80289698|0.84627759|0.804533|0.8052752|0.83728707|0.91602349|0.88705415|0.81777942|0.74240673|0.66607141|0.83194911|0.82380033|0.8526597|0.91504121|0.8603611|0.74965382|0.72541249|0.6861918|0.81420517|0.95599031|0.91439205|0.86105478|0.93682373|0.81344593|0.8062616
España|0.81921756|0.95600843|0.87749439|0.79646981|0.82436198|0.84848464|0.90200931|0.63999069|0.91880858|0.81786704|0.6357522|0.67162764|0.87747997|0.75956011|0.8684122|0.75495267|0.66052401|0.58410335|0.78531873|0.74993759|0.71701026|0.89489973|0.73880506|0.91991472|0.70981747|0.72240067|0.77341104|0.69940758|0.88823736|0.85933626|0.70654225|0.84807414|0.80324101|0.75731206|0.90655816|0.7778728|0.85559356|0.88013279|0.86252564|0.70124578|0.92886996|0.91686821|0.67370719
Estados Unidos|0.84362924|1.0|0.92501402|0.74126053|1.0|1.0|0.98135138|0.46341735|0.94519663|0.92477757|0.98184609|0.8301779|0.9382863|0.91743821|0.95029092|0.65148759|0.63565671|0.79111439|0.95745361|0.71733677|0.91129851|1.0|0.92124051|1.0|0.93339241|0.93179607|0.95568442|0.95461905|0.62267911|1.0|0.97439957|1.0|1.0|0.73491317|0.53565276|0.9290837|0.97753203|0.70409858|0.79411846|0.62277758|0.95011318|0.98617774|0.84792131
Estonia|0.78829491|0.80024308|0.85883105|0.89423853|0.80478084|0.88075745|0.79929483|0.89858222|0.83436728|0.84164047|0.91163635|0.71409011|0.94798613|0.64782417|0.83422953|0.64803088|0.86290932|0.7879169|0.80781877|0.87858427|0.90643835|0.75730348|0.8647635|0.80434394|0.85244668|0.85332727|0.79679608|0.61916798|0.78600383|0.80606997|0.89159536|0.88308716|0.94403696|0.76041275|0.60639906|0.7371242|0.82144296|0.79006886|0.83174753|0.81916201|0.73034322|0.82403433|0.87285352
Etiopía|0.79216278|0.30192274|0.50752705|0.81654525|0.35570472|0.44900009|0.4810726|0.31706676|0.83144701|0.22621116|0.35365146|0.2573379|0.40255794|0.21971177|0.46170971|0.61795914|0.48503929|0.7452231|0.34323442|0.37627339|0.31924364|0.60173106|0.43977362|0.61257428|0.44413447|0.40581584|0.46890384|0.33024323|0.4577449|0.37022346|0.50207245|0.59755433|0.37726092|0.48027945|0.66945457|0.37580436|0.37514716|0.4742732|0.58994126|0.32989573|0.45737153|0.4371376|0.57094574
Filipinas|0.59918088|0.5477348|0.75616616|0.69228947|0.57954288|0.61150563|0.50031304|0.70104694|0.64446926|0.30034131|0.66099417|0.71047544|0.61057866|0.58027375|0.49937585|0.39794719|0.59066975|0.62735999|0.5809989|0.68192315|0.82298577|0.55960339|0.610237|0.68221593|0.36697376|0.50980568|0.7125628|0.64803636|0.84870172|0.51545823|0.62931979|0.6600554|0.61026156|0.41621429|0.70155853|0.50559455|0.58657706|0.72251987|0.70834327|0.79988885|0.68105644|0.54067951|0.65227044
Finlandia|0.827604|0.79460061|0.91385138|0.73537922|0.88076437|0.8745476|0.92850024|0.6322152|0.80611277|0.8379125|0.86986381|0.76603889|0.81026202|0.85097325|0.78160334|0.79987508|0.81788933|0.79622489|0.84768021|0.8364116|0.79346734|0.82875884|0.82857794|0.85152268|0.89138126|0.87772918|0.87478912|0.68076372|0.76053607|0.85522121|0.90134263|0.86412132|0.83726597|0.78667021|0.66656268|0.76122528|0.945737|0.63394862|0.76811385|0.58068442|0.80520523|0.80150056|0.85467744
Fiyi|0.50916344|0.40631205|0.34798327|0.39987421|0.33547992|0.43081874|0.35369867|0.28957009|0.40459755|0.24449241|0.3406896|0.38044071|0.42185897|0.25908172|0.3298403|0.43517917|0.44264865|0.22635388|0.33265686|0.22140253|0.44617569|0.50286865|0.39528573|0.30510315|0.25653034|0.53996372|0.35631484|0.41025633|0.57936704|0.43137127|0.31069705|0.30426297|0.28808993|0.39205843|0.51406288|0.65225887|0.5047493|0.49930692|0.44296837|0.22650176|0.27322423|0.36816064|0.46976936
Francia|0.85941386|0.93725872|0.91787714|0.83556139|0.9019835|0.92776656|0.9150598|0.92039937|0.64909685|0.88709027|0.75027949|0.81297123|1.0|0.87759995|0.93963408|0.90767658|0.63922739|0.69186026|0.86733449|0.98311383|0.95937169|0.94709611|0.9582358|0.84090793|0.91271532|0.93721962|0.85205144|0.71271455|0.82913017|0.88878429|0.94554776|0.9181537|0.90600049|0.82889664|0.73836517|0.98770404|0.97229522|0.92529821|0.90720761|0.64405143|0.9244566|0.94225901|0.78412056
Gabón|0.089998722|0.40305468|0.21200065|0.17022748|0.17802714|0.22258705|0.30748296|0.66051733|0.22018608|0.058736987|0.29907107|0.49268427|0.18664089|0.057248607|0.19471578|0.31335399|0.21901435|0.15987022|0.14723051|0.47938234|0.2838977|0.19240901|0.32824722|0.25459415|0.27453056|0.21713433|0.21464157|0.12837695|0.40021613|0.20704472|0.23386031|0.37554055|0.12188365|0.18756515|0.25932676|0.25850266|0.18043779|0.15573464|0.13853654|0.55201876|0.17126273|0.11122767|0.54760015
Gambia|0.33582097|0.10773772|0.23836702|0.21165651|0.15762183|0.18150139|0.1030292|0.45625314|0.50263309|0.30575997|0.2389231|0.25041798|0.17790274|0.21630168|0.17150822|0.45848179|0.1687462|0.18449545|0.13048568|0.25353199|0.18808615|0.12391567|0.25665581|0.10728882|0.10274128|0.20822415|0.098658107|0.14371119|0.53077602|0.10726504|0.21370576|0.17117195|0.23840612|0.13575885|0.34143549|0.18407561|0.080140255|0.1157173|0.08444041|0.12797612|0.10072005|0.14463742|0.28175002
Georgia|0.54881978|0.51776367|0.65089935|0.52742589|0.6945647|0.65892589|0.50648516|0.65167093|0.66996861|0.59506154|0.43447232|0.4755401|0.67099392|0.61224717|0.62951374|0.46905246|0.67466533|0.41060746|0.49620402|0.6906513|0.70448524|0.57525516|0.71138668|0.64338255|0.77819568|0.48194954|0.48856965|0.47501117|0.70592391|0.62335134|0.7143302|0.59272808|0.65150529|0.64155161|0.48964131|0.51261443|0.61837351|0.5394119|0.53508675|0.70806324|0.47995582|0.58491993|0.31012222
Ghana|0.34500146|0.44855893|0.28749478|0.35825282|0.31714991|0.38404295|0.36620334|0.55663478|0.44774666|0.07811942|0.3474482|0.37396109|0.10691635|0.17458424|0.43445879|0.34701127|0.27493909|0.24965072|0.4336299|0.33964795|0.1838738|0.18184203|0.33615381|0.2263895|0.19688797|0.16391173|0.25053254|0.25466746|0.3011173|0.27902502|0.3349601|0.40858814|0.28350243|0.21227175|0.38126841|0.44193342|0.35651672|0.32838833|0.4017674|0.31697792|0.32634318|0.38181955|0.31429505
Gibraltar|0.20766504|0.31703568|0.3636784|0.24156997|0.26505756|0.27271259|0.28939673|0.34243587|0.39656329|0.38672689|0.34462869|0.41042465|0.37284163|0.38834697|0.27239987|0.26249304|0.2883825|0.94302917|0.30455238|0.48233959|0.33176318|0.31445587|0.22015324|0.29357582|0.41641039|0.30490655|0.25350031|0.48496756|0.32450065|0.35877094|0.32273296|0.24205381|0.32592946|0.56133759|0.24726254|0.48492312|0.31861812|0.24665141|0.25554386|0.40912509|0.30699825|0.29470295|0.57967436
Granada|0.26403394|0.39837939|0.46335799|0.2603718|0.28984314|0.41240859|0.25040966|0.60543048|0.52738327|0.06821806|0.53056157|0.3315683|0.28448322|0.35986698|0.31625479|0.58071256|0.38313234|0.13653232|0.31105059|0.6231941|0.37387508|0.30567575|0.46504393|0.27093336|0.24540049|0.40966627|0.2601499|0.23120728|0.57086968|0.30164784|0.42756659|0.19752046|0.45634899|0.35308477|0.26254302|0.24904045|0.37865198|0.30804139|0.18470652|0.4225117|0.21879041|0.23970649|0.22787836
Grecia|0.69471216|0.74912107|0.86229467|0.86218584|0.79310465|0.83643544|0.71955502|0.88300526|0.85171139|0.80320203|0.80436009|0.98776001|0.79116035|0.8234157|0.88174409|0.63713932|0.79382193|0.60481364|0.78196716|0.81238163|0.87922072|0.84271252|0.86922425|0.83690864|0.76351273|0.69470334|0.75035405|0.78129172|0.96920985|0.80267513|0.65953493|0.78720671|0.76779246|0.70434809|0.75437522|0.78451145|0.72650075|0.90487671|0.78409123|0.87917852|0.86195838|0.85484141|0.71940988
Groenlandia|0.23150787|0.42795527|0.41903993|0.28674409|0.49316821|0.33491784|0.32332027|0.35766503|0.3550216|0.43548587|0.44078052|0.49814576|0.4745844|0.36709946|0.35349041|0.33507544|0.30487758|0.94302917|0.3793278|0.59755474|0.52870637|0.2900767|0.38135695|0.24695668|0.41350532|0.44292617|0.30405527|0.35047656|0.46440858|0.43842715|0.46966654|0.38268119|0.41865063|0.397892|0.2654995|0.45925015|0.45828652|0.28059906|0.28243685|0.49269676|0.31002772|0.37578678|0.49035713
Guam|0.24116215|0.48091173|0.35519326|0.23730242|0.36502227|0.24960023|0.23300278|0.34949937|0.30746543|0.31679815|0.44410202|0.30615836|0.34252653|0.28310746|0.48172814|0.383001|0.30917645|0.94302917|0.60000849|0.48832247|0.29273945|0.2436268|0.2229363|0.22022274|0.39263228|0.26089665|0.33741754|0.49733374|0.24740902|0.29290259|0.35846314|0.34721917|0.25266168|0.37770775|0.24418372|0.29865143|0.25774461|0.33445406|0.26510477|0.27996546|0.25793231|0.38481101|0.38724354
Guatemala|0.43613279|0.36448979|0.65690732|0.66313022|0.50967574|0.60304105|0.49380243|0.56541264|0.2261582|0.27165598|0.46030757|0.55886376|0.5051384|0.23767155|0.58208311|0.52044141|0.51371121|0.28329125|0.50457019|0.47566605|0.48930025|0.46613926|0.55397516|0.51278859|0.35813141|0.36351383|0.49703985|0.48864692|0.60700142|0.5424515|0.39013577|0.49226862|0.39831835|0.70126081|0.46323231|0.35401177|0.60273492|0.74674851|0.62126416|0.49662396|0.60392869|0.54390013|0.47299352
Guinea|0.18543525|0.19302291|0.24624783|0.1487017|0.28122297|0.25895363|0.21080038|0.30824372|0.34885091|0.11299756|0.13999276|0.16798978|0.095240235|0.099571556|0.34908065|0.1394579|0.13908567|0.25834355|0.28314489|0.1797609|0.13975227|0.10305506|0.201932|0.16235782|0.10702497|0.11709229|0.15004429|0.11665848|0.11442044|0.14771912|0.26293263|0.22422701|0.15738246|0.15299235|0.32130098|0.10226439|0.099217847|0.095491342|0.17461623|0.18786111|0.12232943|0.27359182|0.23662403
Guinea-Bisáu|0.17801887|0.21278816|0.29776827|0.10231584|0.19709432|0.17014442|0.086677499|0.27285314|0.20757458|0.18892421|0.45700216|0.17588837|0.20178851|0.1801161|0.14530227|0.099624187|0.17659011|0.28041303|0.10250957|0.20645234|0.22595656|0.088945583|0.13501246|0.1422836|0.078766808|0.15513358|0.10303437|0.069845743|0.23325565|0.11919113|0.22486964|0.10644342|0.16143496|0.1571506|0.29670992|0.11189412|0.071016453|0.10998665|0.24407831|0.17800504|0.093966372|0.091761544|0.15685204
Guyana|0.22839904|0.18102129|0.31708288|0.44380981|0.23664746|0.31747293|0.36222357|0.22271894|0.48468012|0.09800908|0.40650916|0.18692374|0.33089018|0.19120574|0.25111276|0.37865323|0.31474471|0.29093862|0.22811434|0.49565101|0.3428843|0.27127653|0.48667818|0.1908962|0.14479828|0.29024318|0.24567568|0.17678653|0.50311685|0.32034481|0.31652108|0.39187843|0.2263833|0.28961009|0.2304154|0.15753888|0.22424668|0.220714|0.23967975|0.26534283|0.37259245|0.18640523|0.73273778
Haití|0.24843255|0.16614039|0.21805052|0.067901492|0.20304194|0.16151768|0.094919004|0.36809093|0.31156522|0.12914155|0.18393962|0.037249297|0.050307415|0.047741558|0.19118218|0.10373171|0.15330559|0.045984279|0.11872196|0.17161256|0.022789871|0.034724776|0.27907884|0.057197303|0.061989021|0.14200406|0.055448461|0.0653193|0.1415772|0.084652357|0.068344347|0.086929046|0.14427288|0.06749694|0.22104394|0.072499275|0.048881352|0.12011446|0.10869004|0.25415161|0.063430406|0.2634055|0.066651039
Honduras|0.45391423|0.35437083|0.71411675|0.72203445|0.4705798|0.65321076|0.51392674|0.53541946|0.23206338|0.53771114|0.69665682|0.45474893|0.48637104|0.15160206|0.54671884|0.6607945|0.5872612|0.53703159|0.44793373|0.67710888|0.37012768|0.4872613|0.69595027|0.71723855|0.38027561|0.50483412|0.51872128|0.41841093|0.52304745|0.554021|0.48720616|0.52940595|0.43877476|0.48323885|0.57458341|0.42058685|0.51727331|0.60652471|0.54363149|0.71663153|0.53048915|0.52036619|0.51505005
Hungría|0.62007022|0.61164176|0.699211|0.7775383|0.75353628|0.77743506|0.85147512|0.74581647|0.8251496|0.7765044|0.64254117|0.64126843|0.76375848|0.60597438|0.79181147|0.50741017|0.62158036|0.69540495|0.69719988|0.80370319|0.72854972|0.59319472|0.75511217|0.72640657|0.73895419|0.62482119|0.75689125|0.67670918|0.73870158|0.71232939|0.75450373|0.85761392|0.70857853|0.66839695|0.63389385|0.61626095|0.65373552|0.81729662|0.85364097|0.75836158|0.75090432|0.73261249|0.62873626
India|0.82271439|0.33462897|0.46730292|0.83246469|0.4103387|0.49180102|0.66557884|0.17253163|0.28151643|0.16001731|0.48183858|0.1271621|0.51030648|0.5127461|0.38278198|0.31015345|0.4458169|0.45249176|0.55745506|0.23353621|0.28020221|0.69823313|0.48255739|0.46604338|0.47136301|0.49821955|0.71685958|0.49274099|0.21708886|0.40681374|0.53198779|0.75522506|0.43470943|0.59607404|0.32684961|0.39186829|0.5625459|0.75918096|0.82853144|0.31384927|0.89657074|0.53567886|0.41708323
Indonesia|0.44243079|0.49253276|0.68848634|0.60180938|0.47333333|0.53697729|0.67217612|0.39478424|0.82189953|0.2091746|0.49135774|0.69858128|0.74144518|0.48370841|0.566387|0.37373549|0.52877867|0.59752941|0.68308741|0.39716208|0.4575243|0.58377624|0.55844927|0.5196377|0.49015608|0.57591921|0.64343655|0.58341515|0.66771746|0.49569017|0.5458532|0.77400875|0.44661409|0.53295547|0.65029109|0.46959454|0.77033818|0.78101754|0.77895582|0.40578899|0.77603543|0.67662978|0.41328835
Iraq|0.23814085|0.075771667|0.32611862|0.12467829|0.4031719|0.33954144|0.20017426|0.26612493|0.19449812|0.32774198|0.097859018|0.24665287|0.28171426|0.15954143|0.23225525|0.095077604|0.23588368|0.14519359|0.20916891|0.16146776|0.19836372|0.201731|0.15360847|0.18471111|0.27842677|0.31696564|0.30758744|0.32695752|0.22223186|0.30509204|0.30542108|0.21141768|0.30387342|0.19212177|0.21442477|0.15464748|0.27600116|0.17192495|0.20266166|0.1048942|0.13711512|0.18935548|0.18507467
Irlanda|0.84943974|0.70254523|0.99020731|0.88493317|0.90504527|0.89731884|0.74392301|0.87036562|0.93499833|0.83456242|0.92801809|0.78703749|0.8820833|0.75232559|0.8786428|0.91498053|0.80015618|0.84662867|0.82438362|0.93602264|0.83349574|0.96829897|0.92884862|0.96134794|0.84697771|0.86020935|0.88519776|0.90439153|0.93546945|0.86679864|0.8557303|0.81113243|0.84054255|0.80547512|0.84071743|1.0|0.85914469|0.79909205|0.82445681|0.83570242|1.0|0.88566411|0.97710663
Irán|0.58412731|0.11841401|0.39523572|0.30264139|0.124897|0.1662793|0.31651938|0.33925092|0.071891762|0.56545377|0.10190005|0.3343789|0.24101847|0.51956344|0.082332969|0.11025879|0.13064662|0.27695563|0.095650412|0.072295442|0.19250751|0.43729797|0.1398192|0.37108105|0.30325785|0.15145181|0.45005518|0.16557869|0.16007842|0.18771762|0.15895359|0.39513254|0.19948643|0.080017269|0.68593943|0.2916896|0.16239953|0.46751255|0.42116231|0.072838478|0.5604555|0.22379455|0.1431329
Islandia|0.68723679|0.76563334|0.8819378|0.57703614|0.86283028|0.8121928|0.68195522|0.5170247|0.70164365|0.62912095|0.83120036|0.61231828|0.77952278|0.69984192|0.76849413|0.8637079|0.70277631|0.74112725|0.68957478|0.73052418|0.80885571|0.74853146|0.87530619|0.63966572|0.7460286|0.79298294|0.76745141|0.65254533|0.53451842|0.83775234|0.90517592|0.64881539|0.85281622|0.71364576|0.59151995|0.65575016|0.88236082|0.51660442|0.58486378|0.5306052|0.79553378|0.74862659|0.84149319
Islas Caimán|0.29334021|0.52587581|0.51656801|0.35243422|0.51314116|0.5474999|0.3876487|0.53226459|0.35939509|0.58008194|0.63913059|0.58366215|0.4574655|0.5484879|0.41593844|0.61417127|0.46496385|0.94302917|0.46029973|0.67099005|0.34007418|0.53091741|0.31985655|0.38470554|0.57089138|0.56308758|0.35020643|0.57999444|0.55224919|0.53051245|0.59546793|0.35006595|0.57411623|0.61624801|0.32979321|0.55476379|0.52793539|0.35088581|0.32512611|0.53871715|0.39715201|0.43283048|0.45683029
Islas Turcas y Caicos|0.26763445|0.46264249|0.28123984|0.28386942|0.44298434|0.29787293|0.26135534|0.47636801|0.34379953|0.55441034|0.54474914|0.5453639|0.3348195|0.37090334|0.26469818|0.34983897|0.33042067|0.94302917|0.40334138|0.43725094|0.29784083|0.28023666|0.29018229|0.28346777|0.51356971|0.42207992|0.29385608|0.46493852|0.41415203|0.41680613|0.51911271|0.29953444|0.49010736|0.49358249|0.41029459|0.50252724|0.344163|0.29243794|0.25831625|0.50420934|0.2917009|0.27802953|0.3814978
Israel|0.75793242|0.80989277|0.8687917|0.67035496|0.87764984|0.91766322|0.75609618|0.59813476|0.98645687|0.45460188|0.84474432|1.0|0.87091887|0.83531994|0.87171859|0.76463079|0.84857208|0.83889604|0.79296243|0.30034879|0.86680371|0.91666937|0.81984878|0.84726834|0.67131519|0.74119413|0.87110996|0.84806013|0.70256108|0.81298006|0.90811503|0.86874783|0.8695513|0.89039236|0.86268413|0.8508116|0.8682158|0.84007323|0.87650776|0.3723073|0.83585668|0.83111238|0.93363369
Italia|0.90928662|0.94634926|0.89777023|0.84947395|0.83982503|0.84477139|0.8929252|0.79698205|0.862508|0.85606652|0.80806422|0.97802573|0.88876879|0.80744469|0.94641566|0.81040817|0.77056366|0.6182251|0.87867975|0.82163358|0.74875712|0.90518272|0.83296257|0.92978513|0.80131638|0.84109968|0.8230741|0.79641283|0.94166207|0.79515886|0.83051968|0.9796406|0.83213168|0.8701309|0.89625084|0.9182266|0.72994405|0.9599365|0.96949184|0.86656851|0.96194011|0.92205411|0.82175279
Jamaica|0.15616401|0.29761803|0.24301799|0.15489799|0.18618444|0.2645396|0.15616761|0.32878965|0.27357396|0.036191624|0.21259177|0.33827233|0.21610105|0.11089164|0.17594078|0.28083846|0.18142359|0.14031786|0.18788281|0.36111552|0.069710948|0.11054577|0.41463786|0.17702012|0.20791049|0.2137987|0.12974882|0.22408968|0.22547117|0.19754125|0.25295472|0.15158017|0.29632279|0.13084964|0.27607623|0.33456796|0.20121381|0.20130193|0.15344426|0.27202746|0.14725633|0.10218549|0.19358073
Japón|0.66122115|0.81694764|0.82576919|0.58518648|0.75630021|0.78296649|0.64311349|0.71037769|0.61991906|0.82815373|0.70539796|0.90966731|0.71563256|0.74589437|0.66995597|0.58678961|0.54681963|0.78138989|0.79964352|0.95104373|0.70052791|0.88605571|0.66586411|0.86124349|0.81253982|0.73337305|0.73818564|0.73569316|0.67983764|0.81643713|0.75773692|0.64101434|0.82369602|0.87719625|0.84441781|0.90353662|0.79804868|0.48015812|0.63022679|0.91635847|0.69465423|0.76197255|0.60167789
Jordania|0.57241023|0.50103652|0.58768946|0.3743757|0.64473873|0.5267036|0.46069133|0.67054766|0.58649927|0.51904124|0.47565246|0.72849548|0.63737488|0.72463906|0.57322216|0.38808525|0.51072353|0.60942388|0.52980328|0.40356687|0.57455879|0.55267465|0.52462858|0.50509822|0.46828645|0.54977334|0.49426442|0.67334414|0.67640126|0.52184272|0.51526749|0.41543603|0.55171889|0.52414417|0.69524026|0.72475266|0.36070284|0.60195971|0.60809451|0.29241666|0.50815159|0.6107446|0.59725296
Kazajistán|0.43943095|0.50485444|0.48601937|0.55561393|0.64862067|0.64824796|0.65502685|0.63674277|0.62968421|0.61355847|0.60142189|0.63688797|0.61867875|0.44937509|0.69414401|0.44900936|0.56469309|0.51114243|0.48494267|0.63826603|0.51856756|0.69096017|0.62835276|0.56618845|0.69281834|0.63467503|0.61100972|0.52314687|0.62575865|0.63848078|0.72834826|0.63716596|0.57747012|0.38538098|0.36063999|0.46486193|0.59450346|0.51281482|0.56459582|0.46566665|0.46359742|0.56652653|0.6327045
Kenia|0.81086886|0.31314746|0.39214259|0.68596184|0.43207473|0.5613277|0.57718688|0.27912033|0.7451818|0.39990714|0.56805754|0.32552171|0.48287767|0.6026575|0.53558522|0.56100971|0.44950381|0.71426094|0.37595534|0.34595838|0.42030203|0.61482859|0.47515887|0.66702402|0.48381907|0.35587892|0.51136959|0.39037746|0.48609534|0.44462651|0.53564358|0.66372579|0.53040689|0.51376355|0.58759177|0.3793723|0.53178477|0.75548512|0.67341542|0.46283874|0.60835868|0.61781996|0.66175628
Kirguistán|0.3274622|0.14968568|0.38137954|0.45235276|0.43582046|0.37986335|0.32753897|0.52308023|0.41385397|0.54716444|0.41736656|0.3613447|0.49615449|0.24727604|0.58730471|0.32088441|0.41223425|0.26396739|0.35055903|0.32211497|0.30117291|0.34099591|0.30339429|0.38070709|0.51830214|0.4612264|0.27458957|0.19426268|0.19344307|0.27534533|0.39708906|0.34025782|0.33252177|0.20951079|0.2371088|0.32090706|0.24174011|0.27296218|0.35164633|0.39261454|0.30212849|0.55353057|0.23113087
Kuwait|0.5871591|0.65181565|0.70410532|0.33856854|0.76418233|0.67776167|0.5645957|0.82789183|0.65937936|0.65976089|0.31574166|0.80257344|0.60689545|0.57666957|0.72797102|0.66443443|0.78206331|0.30270651|0.69275635|0.6870625|0.61420333|0.64567375|0.49040326|0.69938123|0.75900346|0.80055302|0.58319247|0.7615208|0.7538774|0.64313829|0.6563679|0.61932802|0.69646394|0.70971799|0.69811881|0.81505442|0.52343738|0.50520784|0.45201054|0.078726076|0.41667601|0.72862738|0.68902016
Laos|0.07532277|0.10086009|0.19408266|0.32518846|0.10576495|0.14950944|0.16895279|0.21651539|0.41100162|0.26835191|0.55136693|0.73507798|0.071795456|0.038882844|0.09376803|0.082479656|0.12395956|0.17098263|0.32504207|0.14450075|0.061446071|0.16758753|0.33256736|0.11346751|0.30663413|0.23815659|0.26364118|0.077891409|0.092358723|0.079981625|0.27225131|0.25095198|0.21271411|0.14849216|0.10210986|0.23993176|0.076227099|0.4117763|0.16051917|0.52279305|0.18085417|0.16480075|0.21946368
Lesoto|0.36532509|0.41836882|0.56232613|0.37766084|0.3103686|0.32050928|0.26461101|0.64498198|0.33888382|0.42184591|0.55852199|0.47052401|0.28803578|0.31658608|0.50746|0.44484049|0.42652297|0.55572212|0.54613811|0.62702572|0.34852362|0.31867909|0.29814756|0.32529742|0.3226223|0.39855272|0.27094942|0.24218655|0.45353442|0.24028513|0.3258577|0.25954506|0.35203159|0.32541448|0.42398572|0.42521763|0.27324903|0.36160991|0.22866806|0.41955662|0.24991557|0.4892408|0.27519333
Letonia|0.74434102|0.78762031|0.85198551|0.90723819|0.73132861|0.82972968|0.77539873|0.87791079|0.89580393|0.86360264|0.82776964|0.65787578|0.82360733|0.63566959|0.82470489|0.67258155|0.77493036|0.64803004|0.72053641|0.92271304|0.86329597|0.71404409|0.8134129|0.74385023|0.82751542|0.87104881|0.77686226|0.66987056|0.85294586|0.79972565|0.81666136|0.79126245|0.90141922|0.64694118|0.75784206|0.70977664|0.77726138|0.77364302|0.72452599|0.88384354|0.65336573|0.76667154|0.86423504
